Designator,Mid X,Mid Y,Layer,Rotation
C49,88.300000,-139.000000,Top,90.000000
C50,103.225000,-138.925000,Top,90.000000
C51,118.325000,-139.025000,Top,90.000000
C52,133.062500,-138.975000,Top,90.000000
C53,88.500000,-149.250000,Top,90.000000
C54,103.425000,-149.225000,Top,90.000000
C55,118.587500,-149.325000,Top,90.000000
C56,133.025000,-149.400000,Top,90.000000
C57,88.300000,-159.000000,Top,90.000000
C58,103.700000,-159.050000,Top,90.000000
C59,119.200000,-159.000000,Top,90.000000
C60,133.000000,-159.000000,Top,90.000000
C61,186.199302,-35.449000,Top,270.000000
C62,186.311802,-51.424000,Top,270.000000
C63,186.549302,-68.249000,Top,270.000000
C64,186.474302,-85.099000,Top,270.000000
C65,186.574302,-93.699000,Top,270.000000
C66,186.374302,-76.499000,Top,270.000000
C67,186.449302,-59.899000,Top,270.000000
C68,186.099302,-43.349000,Top,270.000000
C69,56.900000,-75.000000,Top,270.000000
C70,58.300000,-80.300000,Top,180.000000
R1,63.861500,-49.666818,Top,180.000000
R2,57.099000,-53.166818,Top,180.000000
R3,63.736500,-36.916818,Top,180.000000
R4,56.636500,-42.316818,Top,180.000000
R5,63.699000,-60.816818,Top,180.000000
R6,57.036500,-65.616818,Top,180.000000
R7,64.312500,-101.400000,Top,180.000000
R8,56.775000,-105.000000,Top,180.000000
R9,64.387500,-112.125000,Top,180.000000
R10,57.350000,-115.925000,Top,180.000000
R11,64.387500,-123.050000,Top,180.000000
R12,57.287500,-127.150000,Top,180.000000
R13,64.362500,-134.900000,Top,180.000000
R14,57.662500,-139.700000,Top,180.000000
R15,163.762000,-117.650000,Top,90.000000
R16,174.799500,-117.500000,Top,90.000000
R17,175.899500,-121.300000,Top,0.000000
R18,183.999500,-117.500000,Top,270.000000
R19,188.099500,-116.300000,Top,0.000000
R20,187.999500,-129.300000,Top,0.000000
R21,183.999500,-130.500000,Top,270.000000
R22,163.924500,-130.300000,Top,90.000000
R23,174.799500,-130.562500,Top,90.000000
R24,175.899500,-134.300000,Top,0.000000
R25,188.062500,-142.000000,Top,0.000000
R26,184.362500,-143.100000,Top,270.000000
R27,163.662500,-143.100000,Top,90.000000
R28,175.162500,-142.600000,Top,90.000000
R29,176.262500,-146.300000,Top,0.000000
R30,187.762500,-155.200000,Top,0.000000
R31,184.062500,-156.337500,Top,270.000000
R32,164.162500,-155.700000,Top,90.000000
R33,174.462500,-156.000000,Top,90.000000
R34,175.662500,-159.800000,Top,0.000000
R35,163.643052,-46.242750,Top,270.000000
R36,167.343052,-49.942750,Top,180.000000
R37,163.580552,-56.499000,Top,270.000000
R38,167.380552,-60.599000,Top,180.000000
R39,163.611802,-68.099000,Top,270.000000
R40,166.911802,-72.899000,Top,180.000000
R41,163.586802,-79.149000,Top,270.000000
R42,166.786802,-83.249000,Top,180.000000
R43,210.311802,-63.624000,Top,270.000000
R44,193.687000,-123.800000,Top,180.000000
R45,193.924500,-136.600000,Top,180.000000
R46,193.962500,-149.350000,Top,180.000000
R47,193.762500,-162.300000,Top,180.000000
R48,59.600000,-75.000000,Top,90.000000
R49,63.600000,-78.100000,Top,0.000000
U1,63.799000,-54.566818,Top,90.000000
U3,64.474000,-66.266818,Top,90.000000
U4,64.175000,-106.050000,Top,90.000000
U5,64.287500,-116.725000,Top,90.000000
U6,64.387500,-127.850000,Top,90.000000
U7,64.862500,-139.600000,Top,90.000000
U8,169.399500,-117.650000,Top,270.000000
U9,179.399500,-117.500000,Top,270.000000
U10,194.099500,-116.700000,Top,270.000000
U11,200.999500,-116.800000,Top,270.000000
U12,169.599500,-130.350000,Top,270.000000
U13,179.362000,-130.750000,Top,270.000000
U14,193.924500,-129.700000,Top,270.000000
U15,201.262000,-130.050000,Top,270.000000
U16,169.300000,-142.850000,Top,270.000000
U17,179.825000,-142.650000,Top,270.000000
U18,193.925000,-142.500000,Top,270.000000
U19,200.062500,-142.700000,Top,270.000000
U20,169.800000,-155.500000,Top,270.000000
U21,179.100000,-156.000000,Top,270.000000
U22,193.700000,-155.550000,Top,270.000000
U23,200.025000,-156.450000,Top,270.000000
U24,169.080552,-45.842750,Top,270.000000
U25,168.618052,-56.299000,Top,270.000000
U26,168.249302,-68.199000,Top,270.000000
